level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,region,count,region name
root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,,,,,,,467,116,Striatum
root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Lateral septal nucleus,"Lateral septal nucleus, rostral (rostroventral) part",,,,251,2,"Lateral septal nucleus, rostral (rostroventral) part"
root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum dorsal region,Caudoputamen,,,,,662,5,Caudoputamen
root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum ventral region,Nucleus accumbens,,,,,51,3,Nucleus accumbens
root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum ventral region,Olfactory tubercle,,,,,744,38,Olfactory tubercle
root,fiber tracts,,,,,,,,,,999,22,fiber tracts
root,fiber tracts,cerebellum related fiber tracts,arbor vitae,,,,,,,,718,1,arbor vitae
root,fiber tracts,cranial nerves,olfactory nerve,"lateral olfactory tract, general",dorsal limb,,,,,,528,1,dorsal limb
root,fiber tracts,cranial nerves,olfactory nerve,"lateral olfactory tract, general","lateral olfactory tract, body",,,,,,655,1,"lateral olfactory tract, body"
root,fiber tracts,cranial nerves,olfactory nerve,olfactory nerve layer of main olfactory bulb,,,,,,,1005,12,olfactory nerve layer of main olfactory bulb
root,fiber tracts,lateral forebrain bundle system,corpus callosum,"corpus callosum, anterior forceps",,,,,,,946,3,"corpus callosum, anterior forceps"
root,fiber tracts,medial forebrain bundle system,cerebrum related,fornix system,alveus,,,,,,456,1,alveus
root,fiber tracts,medial forebrain bundle system,cerebrum related,fornix system,fimbria,,,,,,593,1,fimbria
root,ventricular systems,lateral ventricle,,,,,,,,,76,10,lateral ventricle
root,ventricular systems,lateral ventricle,subependymal zone,,,,,,,,93,4,subependymal zone
