1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
281	-0.076189	18.452216	9.559833	0.009882	0.6
282	-0.085004	19.452216	9.323509	0.006081	0.4
283	-0.069910	18.650910	9.511928	0.002030	0.4
284	-0.072567	19.432025	9.328165	0.002965	0.3
285	-0.069049	19.377684	9.340719	0.003337	0.4
286	-0.070958	19.295423	9.359787	0.002341	0.4
287	-0.070457	18.884332	9.456259	0.004593	0.5
288	-0.081723	18.409490	9.570197	0.008460	0.4
289	-0.063310	17.609976	9.768371	0.003375	0.4
290	-0.075935	18.381749	9.576939	0.007170	0.5
291	-0.069002	19.367533	9.343068	0.006817	0.5
292	-0.082043	18.570304	9.531304	0.019182	0.5
293	-0.059160	17.768883	9.728333	0.006412	0.5
294	-0.093806	16.967844	9.933579	0.013721	0.4
295	-0.079243	16.166496	10.147758	0.016164	0.4
296	-0.092664	17.166496	9.881876	0.016270	0.4
297	-0.069825	18.166495	9.629572	0.006510	0.4
298	-0.084663	19.166495	9.389831	0.010220	0.4
299	-0.081165	18.365613	9.580864	0.007720	0.3
300	-0.072325	17.801325	9.720199	0.001728	0.3
301	-0.056693	17.079006	9.904581	0.005085	0.4
302	-0.065664	17.374338	9.828354	0.006047	0.4
303	-0.094701	18.368287	9.580213	0.008872	0.6
304	-0.055511	18.185660	9.624863	0.004892	0.3
305	-0.084811	19.184617	9.385596	0.004909	0.3
306	-0.079508	19.295841	9.359690	0.011259	0.4
307	-0.057375	20.295662	9.133080	0.004564	0.4
308	-0.075273	21.285960	8.919192	0.005479	0.3
309	-0.077330	21.852679	8.801237	0.005848	0.4
310	-0.053384	22.847809	8.601492	0.001277	0.4
311	-0.065825	23.092592	8.553740	0.003810	0.4
312	-0.070615	22.748021	8.621112	0.002689	0.4
313	-0.057849	22.522978	8.665689	0.003854	0.3
314	-0.064942	23.040302	8.563897	0.008484	0.4
315	-0.071499	23.968331	8.387160	0.012200	0.4
316	-0.094597	24.968331	8.204705	0.005082	0.4
317	-0.080040	24.166911	8.350285	0.007701	0.3
318	-0.061222	23.365830	8.501060	0.004600	0.4
319	-0.079127	24.356245	8.315428	0.006071	0.4
320	-0.073491	25.316435	8.143040	0.004615	0.4
321	-0.082316	24.518384	8.285808	0.004936	0.5
322	-0.089711	23.886549	8.402441	0.011385	0.4
323	-0.071905	24.120217	8.358927	0.005982	0.5
324	-0.075927	23.356228	8.502900	0.004635	0.4
325	-0.076041	24.346435	8.317227	0.009530	0.7
326	-0.068596	23.545509	8.466770	0.002955	0.7
327	-0.082532	22.747455	8.621224	0.008626	0.5
328	-0.074668	23.732294	8.431416	0.006269	0.4
329	-0.078174	22.930925	8.585218	0.009095	0.5
330	-0.064330	23.847412	8.409774	0.001491	0.4
331	-0.076807	24.638679	8.263968	0.003675	0.4
332	-0.061996	24.483969	8.292077	0.008019	0.4
333	-0.082439	25.476115	8.115063	0.005707	0.4
334	-0.078457	26.139300	8.000895	0.011076	0.4
335	-0.077589	26.943742	7.866649	0.005872	0.6
336	-0.074978	26.164776	7.996573	0.010049	0.4
337	-0.074246	25.363814	8.134719	0.006404	0.5
338	-0.072864	26.361520	7.963355	0.009994	0.4
339	-0.065011	27.361463	7.798701	0.011739	0.4
340	-0.090939	26.560041	7.930115	0.005685	0.4
341	-0.075312	25.758684	8.066022	0.004021	0.3
342	-0.065004	24.984831	8.201761	0.001827	0.4
343	-0.073197	25.519008	8.107580	0.008611	0.4
344	-0.064333	26.416012	7.954203	0.011065	0.5
345	-0.082012	27.412796	7.790432	0.012269	0.5
346	-0.073369	28.412796	7.632772	0.005830	0.5
347	-0.074303	27.611375	7.758608	0.006910	0.4
348	-0.071388	28.608121	7.602719	0.004178	0.4
349	-0.075491	29.597915	7.453995	0.003942	0.4
350	-0.081966	29.325355	7.494365	0.007577	0.4
351	-0.067710	28.526818	7.615199	0.012990	0.3
352	-0.072081	27.725396	7.740452	0.004272	0.4
353	-0.080015	27.549144	7.768553	0.009507	0.4
354	-0.071961	28.548779	7.611824	0.009453	0.4
355	-0.070314	27.749798	7.736577	0.008977	0.6
356	-0.069985	28.749775	7.581071	0.008731	0.4
357	-0.088464	29.749648	7.431709	0.004489	0.4
358	-0.064739	28.952271	7.550339	0.004437	0.4
359	-0.077915	29.852563	7.416668	0.009018	0.3
360	-0.085438	29.051643	7.535349	0.009430	0.5
361	-0.066111	30.051643	7.387746	0.011920	0.4
362	-0.057170	29.250222	7.505571	0.006639	0.3
363	-0.075723	28.448800	7.627214	0.010957	0.4
364	-0.089565	27.647380	7.752865	0.017243	0.4
365	-0.085100	28.647380	7.596707	0.004470	0.4
366	-0.089540	27.845959	7.721347	0.001743	0.4
367	-0.074856	27.316133	7.806018	0.003113	0.4
368	-0.071417	27.144383	7.833865	0.005347	0.3
369	-0.080045	27.153043	7.832456	0.003853	0.4
370	-0.056418	26.390577	7.958472	0.005677	0.4
371	-0.062409	26.885964	7.876141	0.004928	0.4
372	-0.081135	27.845486	7.721422	0.003242	0.4
373	-0.054378	28.717346	7.586016	0.004665	0.4
374	-0.074307	29.344214	7.491558	0.008992	0.4
375	-0.063225	28.621880	7.600611	0.014048	0.3
376	-0.079020	27.820459	7.725380	0.006331	0.4
377	-0.067406	28.794845	7.574210	0.010670	0.4
378	-0.073681	29.794582	7.425134	0.006430	0.5
379	-0.075194	30.478542	7.326482	0.005222	0.5
380	-0.075490	30.269730	7.356321	0.004917	0.4
381	-0.094361	29.531271	7.463826	0.005124	0.4
382	-0.085703	28.744085	7.581939	0.015205	0.4
383	-0.062453	28.058780	7.687851	0.011315	0.4
384	-0.075954	27.257359	7.815525	0.009847	0.4
385	-0.082018	28.257359	7.656858	0.009452	0.3
386	-0.062445	27.455937	7.783496	0.005166	0.3
387	-0.067687	26.654767	7.914352	0.005649	0.4
388	-0.073180	26.808124	7.888964	0.009231	0.4
389	-0.077650	26.458050	7.947157	0.009954	0.3
390	-0.077649	27.458049	7.783157	0.002977	0.4
391	-0.057876	28.412724	7.632783	0.009438	0.4
392	-0.072640	27.810251	7.726996	0.004844	0.4
393	-0.069441	27.047038	7.849737	0.009929	0.7
394	-0.074786	26.246731	7.982702	0.004229	0.3
395	-0.071267	27.242944	7.817860	0.008064	0.4
396	-0.069215	27.769003	7.733531	0.009528	0.6
397	-0.080553	28.768980	7.578146	0.007030	0.5
398	-0.074565	27.967559	7.702173	0.003800	0.5
399	-0.087707	27.437787	7.786412	0.003154	0.4
400	-0.056925	28.012938	7.695041	0.005889	0.4
401	-0.058234	28.323736	7.646554	0.011218	0.4
402	-0.081967	29.323701	7.494612	0.011756	0.4
403	-0.082184	28.522280	7.615897	0.011465	0.4
404	-0.087066	29.522280	7.465154	0.011334	0.4
405	-0.061050	30.522280	7.320262	0.006334	0.4
406	-0.055071	29.728672	7.434782	0.002890	0.4
407	-0.076153	30.653869	7.301614	0.010499	0.3
408	-0.070834	31.505261	7.183215	0.007680	0.4
409	-0.070237	31.555211	7.176388	0.004382	0.4
410	-0.079552	30.914867	7.264905	0.003431	0.3
411	-0.076117	30.939604	7.261445	0.012304	0.4
412	-0.069022	30.147861	7.373849	0.011425	0.4
413	-0.072059	29.346440	7.491227	0.003824	0.4
414	-0.065560	30.341064	7.346100	0.004232	0.3
415	-0.067193	31.259273	7.217027	0.006420	0.4
416	-0.075668	30.475371	7.326933	0.005105	0.4
417	-0.075038	29.784807	7.426563	0.007048	0.4
418	-0.080043	29.009245	7.541737	0.003157	0.3
419	-0.088814	28.394977	7.635525	0.007667	0.4
420	-0.068157	27.908691	7.711443	0.007491	0.4
421	-0.057134	28.553051	7.611168	0.008037	0.4
422	-0.066129	27.756212	7.735560	0.013325	0.5
423	-0.072850	26.954790	7.864837	0.005582	0.4
424	-0.077936	26.155841	7.998088	0.006850	0.4
425	-0.059784	27.153145	7.832439	0.003315	0.4
426	-0.068950	26.375665	7.960977	0.004346	0.4
427	-0.077716	26.015673	8.021933	0.009101	0.4
428	-0.072042	26.554741	7.930999	0.004934	0.3
429	-0.069058	25.754247	8.066788	0.004796	0.4
430	-0.083086	26.350708	7.965173	0.003490	0.3
431	-0.058281	25.903384	8.041138	0.013593	0.4
432	-0.073901	25.102171	8.180886	0.003991	0.5
433	-0.080758	24.860073	8.224073	0.009271	0.5
434	-0.072506	24.389810	8.309279	0.008940	0.4
435	-0.083295	23.759046	8.426377	0.004942	0.5
436	-0.088278	22.958234	8.579885	0.005597	0.4
437	-0.076355	23.923174	8.395591	0.005943	0.4
438	-0.062276	23.122947	8.547856	0.008539	0.4
439	-0.080896	23.411376	8.492342	0.015274	0.4
440	-0.068960	24.411376	8.305333	0.007948	0.4
441	-0.081485	25.411373	8.126383	0.010588	0.4
442	-0.079246	24.611487	8.268895	0.005675	0.3
443	-0.090022	25.610539	8.091659	0.007502	0.3
444	-0.056308	26.607671	7.922181	0.012534	0.3
445	-0.079238	25.806249	8.057826	0.009130	0.4
446	-0.084479	25.004828	8.198196	0.011703	0.4
447	-0.062949	26.004827	8.023784	0.013295	0.4
448	-0.079358	25.203406	8.162961	0.008911	0.4
449	-0.061089	24.401984	8.307051	0.011812	0.4
450	-0.075785	25.401984	8.128027	0.008611	0.4
451	-0.075226	26.401983	7.956557	0.010366	0.4
452	-0.059906	27.401983	7.792172	0.004013	0.3
453	-0.064725	28.377074	7.638294	0.004492	0.3
454	-0.073842	28.418500	7.631891	0.002360	0.3
455	-0.086103	27.832559	7.723466	0.013643	0.4
456	-0.067052	28.103761	7.680809	0.010874	0.4
457	-0.064092	27.302751	7.808180	0.008044	0.4
458	-0.069020	28.302441	7.649856	0.005709	0.3
459	-0.078809	29.296917	7.498603	0.008597	0.4
460	-0.062846	30.296832	7.352434	0.006913	0.4
461	-0.072711	29.561270	7.459397	0.010111	0.4
